Filename,DOI,Title,Keywords,Status
10.3389:fchem.2022.1036683.pdf,10.3389/fchem.2022.1036683,An “on-off-on” fluorescence probe for glyphosate detection based on Cu2+ modulated g-C3N4 nanosheets,"Frontiers in Chemistry, Frontiers Media SA",OK
10.1016:j.foodchem.2018.07.041.pdf,10.1016/j.foodchem.2018.07.041,Fluorescence strategy for sensitive detection of adenosine triphosphate in terms of evaluating meat freshness,"Food Chemistry, Elsevier BV",OK
10.1016:j.scitotenv.2022.159091.pdf,10.1016/j.scitotenv.2022.159091,"Capsulation of red emission chromophore into the CoZn ZIF as nanozymes for on-site visual cascade detection of phosphate ions, o-phenylenediamine, and benzaldehyde","Elsevier BV, Science of The Total Environment",OK
10.1016:j.microc.2019.03.040.pdf,10.1016/j.microc.2019.03.040,A compact hydrodynamic sequential injection system for consecutive on-line determination of phosphate and ammonium,"Microchemical Journal, Elsevier BV",OK
10.3390:polym14010190.pdf,10.3390/polym14010190,Reusable and pH-Stable Luminescent Sensors for Highly Selective Detection of Phosphate,"Polymers, MDPI AG",OK
10.1016:j.watres.2019.114883.pdf,10.1016/j.watres.2019.114883,Highly sensitive and selective fluorescent detection of phosphate in water environment by a functionalized coordination polymer,"Water Research, Elsevier BV",OK
10.1039:C8DT03964J.pdf,10.1039/C8DT03964J,A dual functional MOF-based fluorescent sensor for intracellular phosphate and extracellular 4-nitrobenzaldehyde,"Royal Society of Chemistry (RSC), Dalton Transactions",OK
10.1007:s00542-018-4200-z.pdf,10.1007/s00542-018-4200-z,Ion sensitive field effect transistor based on graphene and ionophore hybrid membrane for phosphate detection,"Microsystem Technologies, Springer Science and Business Media LLC",OK
10.1039:C8AN01676C.pdf,10.1039/C8AN01676C,Carbon nanospheres with dual-color emission and their application in ratiometric pyrophosphate sensing,"Royal Society of Chemistry (RSC), The Analyst",OK
10.1016:j.chempr.2022.05.010.pdf,10.1016/j.chempr.2022.05.010,Cross-reactive binding versus selective phosphate sensing in an imine macrocycle sensor,"Chem, Elsevier BV",OK
10.3390:mi12121492.pdf,10.3390/mi12121492,Colorimetric Phosphate Detection Using Organic DFB Laser Based Absorption Spectroscopy,"Micromachines, MDPI AG",OK
10.1016:j.microc.2019.104195.pdf,10.1016/j.microc.2019.104195,"A simple, highly selective and ultra-sensitive “off-on-off” fluorescent chemosensor for successive detection of aluminum ion and phosphate in water samples","Microchemical Journal, Elsevier BV",OK
10.1016:j.snb.2021.130789.pdf,10.1016/j.snb.2021.130789,Enhancing the sensitivity of cobalt based solid-state phosphate sensor using electrical pretreatment,"Sensors and Actuators B: Chemical, Elsevier BV",OK
10.3390:s21010299.pdf,10.3390/s21010299,A Co-Nanoparticles Modified Electrode for On-Site and Rapid Phosphate Detection in Hydroponic Solutions,"MDPI AG, Sensors",OK
10.1021:acs.est.1c05363.pdf,10.1021/acs.est.1c05363,Trace-Level Sensing of Phosphate for Natural Soils by a Nano-Screen-Printed Electrode,"Environmental Science &amp; Technology, American Chemical Society (ACS)",OK
10.25135:acg.oc.76.20.01.1530.pdf,10.25135/acg.oc.76.20.01.1530,Boron/Nitrogen Co-doped carbon quantum dots as a high sensitive and selective fluorescent sensor for PO43- detection,"ACG Publications, Organic Communications",OK
