Title,DOI,License,Access Right,Upload Type,Publication Date,Created,Modified,Zenodo Link
UiO‐66/GO Composites with Improved Electrochemical Properties for Effective Detection of Phosphite(P(III)) in Phosphate(P(V)) Buffer Solutions,10.1002/slct.202002594,cc-by-4.0,restricted,publication,2025-05-18,2025-05-18T21:36:49.275926+00:00,2025-05-18T21:36:49.530291+00:00,https://zenodo.org/record/15460230
Fluorescence detection of phosphate in an aqueous environment by an aluminum-based metal-organic framework with amido functionalized ligands,10.1007/s11783-022-1594-8,cc-by-4.0,restricted,publication,2025-05-18,2025-05-18T21:18:19.591572+00:00,2025-05-18T21:18:20.165191+00:00,https://zenodo.org/record/15460192
,,,open,,,2025-05-17T23:12:51.228331+00:00,2025-05-17T23:12:51.306543+00:00,https://zenodo.org/record/15454050
,,,open,,,2025-05-17T22:51:52.978637+00:00,2025-05-17T22:51:53.034442+00:00,https://zenodo.org/record/15454036
,,,open,,,2025-05-17T22:39:21.447275+00:00,2025-05-17T22:39:21.511609+00:00,https://zenodo.org/record/15454020
Highly sensitive and specific colorimetric detection of phosphate by using Zr(Ⅳ) to synergistically suppress the peroxidase-mimicking activity of hydrophilic Fe3O4 nanocubes,10.1016/j.snb.2019.126822,cc-by-4.0,restricted,publication,2025-05-18,2025-05-17T22:36:43.450650+00:00,2025-05-17T22:36:47.166630+00:00,https://zenodo.org/record/15454018
Highly sensitive and specific colorimetric detection of phosphate by using Zr(Ⅳ) to synergistically suppress the peroxidase-mimicking activity of hydrophilic Fe3O4 nanocubes,10.1016/j.snb.2019.126822,cc-by-4.0,restricted,publication,2025-05-18,2025-05-17T22:24:29.585672+00:00,2025-05-17T22:24:29.807033+00:00,https://zenodo.org/record/15453999
"A New Phosphate Selective Electrode and Its Application in
Some Foods",10.20964/2021.08.42,cc-by-4.0,restricted,publication,2025-05-17,2025-05-17T19:44:37.496905+00:00,2025-05-17T20:14:11.630048+00:00,https://zenodo.org/record/15453538
"Boron/Nitrogen Co-doped carbon quantum dots
as a high sensitive and selective fluorescent sensor for PO43- detection",10.25135/acg.oc.76.20.01.1530,cc-by-4.0,open,publication,2025-05-17,2025-05-17T19:44:33.289779+00:00,2025-05-17T19:44:36.189001+00:00,https://zenodo.org/record/15453534
"A New Phosphate Selective Electrode and Its Application in
Some Foods",10.20964/2021.08.42,cc-by-4.0,restricted,publication,2025-05-17,2025-05-17T19:37:53.697235+00:00,2025-05-17T20:13:48.750710+00:00,https://zenodo.org/record/15453526
"Boron/Nitrogen Co-doped carbon quantum dots
as a high sensitive and selective fluorescent sensor for PO43- detection",10.25135/acg.oc.76.20.01.1530,cc-by-4.0,restricted,publication,2025-05-17,2025-05-17T19:37:48.875686+00:00,2025-05-17T20:14:47.769079+00:00,https://zenodo.org/record/15453524
Best Practices Knowledge Graph (STEM Center Activities),10.5281/zenodo.15365424,mit-license,open,software,2025-05-08,2025-05-08T13:29:47.083279+00:00,2025-05-11T16:54:44.492662+00:00,https://zenodo.org/record/15365424
Cross-Linking Knowledge Graph: STEM Research Center Best Practices,10.5281/zenodo.15361831,mit-license,open,software,2025-05-08,2025-05-08T02:42:55.611693+00:00,2025-05-11T16:55:14.105234+00:00,https://zenodo.org/record/15361831
,10.5281/zenodo.14969038,cc-by-4.0,open,,2025-03-04,2025-03-04T21:39:33.228227+00:00,2025-03-04T21:39:39.294551+00:00,https://zenodo.org/record/14969038
CID_SMILES_ for 1M P compounds_v1.00094,,cc-by-4.0,restricted,dataset,,2025-01-22T01:50:11.231957+00:00,2025-01-22T01:50:11.339401+00:00,https://zenodo.org/record/14715384
Data Dictionary: Glossary and Field Tags,10.5281/zenodo.14714331,cc-by-4.0,open,dataset,2025-01-21,2025-01-21T19:10:28.658790+00:00,2025-01-21T19:10:29.141096+00:00,https://zenodo.org/record/14714331
"39 Features for 1,000,004 P compounds_v1.00094",10.5281/zenodo.14713846,cc-by-4.0,restricted,dataset,2025-01-21,2025-01-21T17:39:13.570356+00:00,2025-01-21T18:52:42.771447+00:00,https://zenodo.org/record/14713846
"PubChem ID (CID) of 1,000,004 compounds_v1.00094",10.5281/zenodo.14713815,cc-by-4.0,restricted,dataset,2025-01-21,2025-01-21T17:37:12.459817+00:00,2025-01-21T17:37:12.766861+00:00,https://zenodo.org/record/14713815
Snapshot of 1 million P compounds (STEPS presentation_011925),10.5281/zenodo.14713610,cc-by-4.0,restricted,presentation,2025-01-21,2025-01-21T17:33:22.781780+00:00,2025-01-21T17:33:23.135180+00:00,https://zenodo.org/record/14713610
Sensor Search Engine-Orthophosphate database v1,10.5281/zenodo.14617335,cc-by-4.0,restricted,dataset,2025-01-08,2025-01-08T16:39:16.091865+00:00,2025-01-08T16:39:16.306580+00:00,https://zenodo.org/record/14617335
Text analysis from Santos et al,10.5281/zenodo.13351452,cc-by-4.0,open,dataset,2024-08-20,2024-08-20T19:04:52.315826+00:00,2024-08-20T19:07:10.309420+00:00,https://zenodo.org/record/13351452
Electrochemical Sensor Data (Cavallaro et al),10.5281/zenodo.10719208,cc-by-4.0,open,dataset,2024-02-27,2024-07-23T16:35:08.495982+00:00,2024-07-23T16:35:08.704846+00:00,https://zenodo.org/record/10719208
